Date,Open,High,Low,Close,Volume,Currency,Trend,VolumeTrend,AAL,AAPL,AMT,AVY,AWK,BA,BAC,CCL,CNP,EQR,F,FOX,HFC,JNJ,MSFT,NFLX,PFE,PKG,PM,S&P500,WFC,WMT,XOM
2020-05-27,17.96,18.12,17.44,17.5,8866155,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,17.67,18.11,17.55,18.02,8638896,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,17.88,18.0,17.36,17.78,12805887,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,17.82,18.24,17.71,18.05,7149212,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,18.24,18.24,17.93,18.1,10456311,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,18.44,18.67,18.38,18.46,9318115,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,18.33,18.34,17.83,18.05,8684909,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,18.58,18.98,18.21,18.25,14693641,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,18.44,19.32,18.43,19.09,16830744,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,18.71,18.79,18.26,18.63,14122386,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,18.65,18.84,18.2,18.39,10804903,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,17.59,17.93,17.38,17.77,14137854,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,18.36,18.6,17.73,18.0,10230380,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,17.46,18.59,17.36,18.27,9072659,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,19.05,19.34,18.34,18.39,8157375,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,18.5,18.62,18.16,18.46,8001366,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,18.25,18.64,18.24,18.35,9331133,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,18.65,18.65,17.78,17.79,21466316,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
